mp-567907,5.87,3.67
mp-28077,3.98,3.13
mp-23291,4.86,3.90
mp-19146,2.25,1.76
mp-649774,1.3,0.67
mp-315,5.68,4.43
mp-22893,2.28,2.20
mp-22169,3.6,2.72
mp-21276,0.29,0.30
mp-2201,0.15,0.24
mp-22342,4.3,3.65
mp-19717,0.19,0.69
mp-22410,4.2,3.20
mp-20250,0.5,0.02
mp-13682,0.75,0.00
mp-2418,0.4,0.00
mp-562,0.11,0.00
mp-8901,1.83,1.35
mp-18006,2.08,1.14
mp-15221,2.64,2.02
mp-15222,2.19,1.68
mp-15219,1.85,1.25
mp-23383,2.19,1.90
mp-28070,1.43,1.49
mp-7129,2.19,1.61
mp-28222,2.48,1.78
mp-17756,2.3,0.84
mp-30373,2.75,0.20
mp-22867,7.2,4.36
mp-23295,8.3,5.06
mp-15998,1.45,1.09
mp-11718,10.4,5.72
mp-22903,6.37,3.92
mp-572758,1.37,1.24
mp-541582,1.19,1.04
mp-2030,1.45,0.78
mp-1922,0.76,0.45
mp-1848,0.49,0.12
mp-2136,3.25,2.13
mp-1999,4,3.18
mp-2809,1.74,1.27
mp-2160,1.11,0.96
mp-1201,0.28,0.03
mp-1880,4.3,4.54
mp-569224,2.41,2.34
mp-7752,1.15,0.21
mp-22971,2.27,1.65
mp-22996,1.7,1.39
mp-23041,1.88,1.62
mp-2857,0.9,0.00
mp-3432,0.11,0.30
mp-569779,0.23,0.31
mp-149,1.17,0.62
mp-988,5.1,4.31
mp-1863,1.45,0.81
mp-8062,2.42,1.35
mp-7140,3.33,2.35
mp-11714,3.2,2.23
mp-7631,2.86,2.01
mp-7000,8.9,6.02
mp-9996,1.89,0.80
mp-117,0.09,0.00
mp-561134,1.5,0.44
mp-29862,3.45,2.33
mp-569152,3.8,3.06
mp-856,3.6,1.34
mp-2231,1.23,0.73
mp-1170,2.48,1.43
mp-691,0.9,0.60
mp-665,0.97,0.69
mp-1883,0.36,0.09
mp-20944,1.75,1.63
mp-5532,3.41,2.04
mp-3349,3.26,1.94
mp-547244,3.52,3.33
mp-23209,7.5,5.36
mp-510607,2.45,2.95
mp-13900,3.3,1.87
mp-981,9.6,7.00
mp-1244,0.82,0.42
mp-18834,3.98,4.12
mp-2472,6.1,3.26
mp-20489,1.78,0.89
mp-1087,4.32,2.45
mp-2758,3.81,2.17
mp-4092,4.75,4.11
mp-2879,4.1,2.12
mp-552454,1.99,0.32
mp-5229,3.25,1.82
mp-5193,1,1.14
mp-4165,2.4,1.68
mp-557,3.5,2.58
mp-8377,3.41,2.98
mp-2657,3.03,2.16
mp-390,3.3,2.06
mp-9510,2.2,1.03
mp-18240,1.4,0.47
mp-31076,2.06,1.83
mp-31077,1.47,1.56
mp-17172,1.6,1.19
mp-7684,1.3,0.00
mp-570339,2.8,2.02
mp-22875,2.66,1.85
mp-23167,3.23,2.18
mp-3785,1.2,0.33
mp-23197,2.1,1.62
mp-22858,2.87,2.02
mp-571102,2.92,1.95
mp-22232,1.19,0.00
mp-22791,0.96,0.43
mp-322,1.36,0.64
mp-13312,1.51,0.90
mp-13313,0.79,0.55
mp-13314,0.85,0.00
mp-1836,0.73,0.11
mp-10795,0.78,0.44
mp-558747,1.3,1.03
mp-224,1.35,1.00
mp-1821,1.2,0.95
mp-611517,9.29,6.26
mp-2416,12.5,7.84
mp-11520,0.18,0.32
mp-4964,0.16,0.41
mp-4842,3.5,2.52
mp-7262,0.97,0.27
mp-15776,2.18,1.66
mp-15777,1.33,1.04
mp-4008,1.15,0.29
mp-2979,3.36,1.76
mp-4524,2.02,1.31
mp-20832,1.49,1.25
mp-2133,3.44,0.80
mp-1392,1.42,0.77
mp-10695,3.72,2.15
mp-560588,3.91,2.18
mp-753,0.5,0.13
mp-1190,2.82,1.31
mp-3595,1.93,1.14
mp-4763,2,1.30
mp-5190,0.75,0.13
mp-13334,3.9,1.61
mp-4175,1.68,0.99
mp-4756,0.4,0.02
mp-1186,1.68,0.80
mp-2076,1.18,0.36
